fiscal_year,state_name,program_area,total_investment_dollars,number_investments,svi_investments
2013,Montana,Water and Environmental,32743169,26,1169000
2013,Nebraska,Business Programs,18947411,140,604649
2013,Nebraska,Community Facilities,31177849,15,15088400
2013,Nebraska,Multifamily Housing,6882384,206,778540
2013,Nebraska,Single Family Housing,129160305,1344,10983360
2013,Nebraska,Telecommunications Programs,3253010,1,0
2013,Nebraska,Water and Environmental,12730366,23,4011000
2013,Nevada,Business Programs,9373152,27,14950
2013,Nevada,Community Facilities,20270276,13,3826983
2013,Nevada,Electric Programs,2234859,1,0
2013,Nevada,Multifamily Housing,6492480,49,3668152
2013,Nevada,Single Family Housing,149194934,966,12253468
2013,Nevada,Water and Environmental,22107480,9,14165386
2013,New Hampshire,Business Programs,1813677,23,0
2013,New Hampshire,Community Facilities,2331000,13,0
2013,New Hampshire,Multifamily Housing,8205721,81,0
2013,New Hampshire,Single Family Housing,189250579,1207,1201613
2013,New Hampshire,Water and Environmental,16072087,12,0
2013,New Jersey,Business Programs,457988,10,182453
2013,New Jersey,Community Facilities,1218190,11,535160
2013,New Jersey,Multifamily Housing,12875854,86,1741824
2013,New Jersey,Single Family Housing,287625775,1650,22580240
2013,New Jersey,Water and Environmental,10263800,12,0
2013,New Mexico,Business Programs,12972196,33,12688370
2013,New Mexico,Community Facilities,203100,4,203100
2013,New Mexico,Electric Programs,61922000,3,0
2013,New Mexico,Multifamily Housing,12275794,106,7746752
2013,New Mexico,Single Family Housing,75928184,618,36641508
2013,New Mexico,Water and Environmental,6428085,10,5687735
2013,New York,Business Programs,10613830,96,2180194
2013,New York,Community Facilities,11201325,19,204000
2013,New York,Multifamily Housing,24578715,331,1514174
2013,New York,Single Family Housing,289135294,2548,8583601
2013,New York,Water and Environmental,40128768,48,9662000
2013,North Carolina,Business Programs,47821413,125,36215127
2013,North Carolina,Community Facilities,96821353,49,38394698
2013,North Carolina,Electric Programs,114662035,4,0
2013,North Carolina,Multifamily Housing,71532824,452,41241418
2013,North Carolina,Single Family Housing,1187078669,8767,179436331
2013,North Carolina,Water and Environmental,24998367,20,5501275
2013,North Dakota,Business Programs,26511067,30,130463
2013,North Dakota,Community Facilities,26054906,13,376647
2013,North Dakota,Electric Programs,302314506,9,0
2013,North Dakota,Multifamily Housing,5132148,129,491532
2013,North Dakota,Single Family Housing,69247656,491,2671855
2013,North Dakota,Telecommunications Programs,22248955,3,0
2013,North Dakota,Water and Environmental,21239100,17,6200000
2013,Ohio,Business Programs,24365433,76,7890
2013,Ohio,Community Facilities,22153840,14,150000
2013,Ohio,Electric Programs,75000000,3,0
2013,Ohio,Multifamily Housing,21760739,295,2973760
2013,Ohio,Single Family Housing,580821196,5508,22824102
2013,Ohio,Water and Environmental,25447800,13,4522500
2013,Oklahoma,Business Programs,35847944,29,10642770
2013,Oklahoma,Community Facilities,922064,18,346828
2013,Oklahoma,Electric Programs,149110074,5,0
2013,Oklahoma,Multifamily Housing,14962868,224,8289585
2013,Oklahoma,Single Family Housing,343520199,3099,76462422
2013,Oklahoma,Telecommunications Programs,94122089,7,0
2013,Oklahoma,Water and Environmental,35612008,25,18156775
